ticker,entry,exit,shares,opened,closed,reason,pnl,ret
GPC,101.39,103.65,4,2019-02-04,2019-04-22,thesis,7.0400000000000205,0.022290166683104795
TEAM,104.21,103.75,4,2019-03-07,2019-04-22,thesis,-3.839999999999975,-0.004414163707897489
PG,98.87,103.16,4,2019-03-04,2019-04-23,trail,15.159999999999968,0.04339031050874875
HD,186.10001,198.8,2,2019-03-20,2019-05-01,trail,23.399980000000028,0.06824282277040195
COPX,23.49,20.75,19,2019-04-17,2019-05-02,thesis,-52.059999999999974,-0.11664538101319699
DFEN,44.37,47.78,10,2019-03-29,2019-05-07,trail,34.10000000000004,0.07685372999774631
NKE,85.23,82.77,5,2019-04-01,2019-05-08,thesis,-14.30000000000004,-0.02886307638155583
SBUX,63.88,78.42,7,2019-01-09,2019-05-10,timeout,99.78,0.22761427676894175
CAT,139.029999,131.34,3,2019-04-26,2019-05-10,thesis,-25.069997,-0.055311796413089254
VRSK,118.77,138.48,3,2019-02-01,2019-05-13,trail,57.12999999999998,0.16595099772669863
ROP,292.23001,348.89999,1,2019-02-01,2019-05-13,trail,54.66998000000001,0.19392252014089872
ODFL,47.66333,47.28667,9,2019-02-07,2019-05-13,thesis,-5.38994000000001,-0.007902511217743324
ETN,79.38,78.5,5,2019-03-08,2019-05-13,thesis,-6.399999999999977,-0.011085915847820593
LVS,56.95,62.72,8,2019-01-25,2019-05-14,thesis,44.15999999999997,0.10131694468832309
BYDDY,2.25833,2.061667,204,2019-04-26,2019-05-14,thesis,-42.119252,-0.0870833757688203
TSM,44.4,41.97,10,2019-05-02,2019-05-15,thesis,-26.299999999999997,-0.05472972972972967
EPAM,171.88,166.49001,2,2019-05-16,2019-05-20,thesis,-12.779979999999966,-0.03135902955550374
AMZN,88.092499,90.774,5,2019-03-19,2019-05-23,thesis,11.407504999999986,0.03043960644140653
MCD,181.35001,197.77,2,2019-03-05,2019-05-24,trail,30.839980000000025,0.09054308847294812
USO,105.2,97.84,4,2019-05-20,2019-05-24,thesis,-29.439999999999998,-0.06996197718631181
NAIL,39.88,43.36,11,2019-02-22,2019-05-28,thesis,38.279999999999966,0.08726178535606821
FAS,70.62,66.56,6,2019-05-10,2019-05-28,thesis,-24.360000000000014,-0.057490795808552875
KRC,75.88,73.73,6,2019-04-02,2019-05-30,thesis,-14.899999999999949,-0.02833421191354757
KMB,116.44,127.89,3,2019-03-04,2019-05-31,trail,32.35000000000001,0.09833390587427004
LPLA,72.31,80.22,6,2019-04-03,2019-05-31,trail,45.45999999999998,0.10939012584704733
USB,52.17,50.73,8,2019-05-10,2019-06-03,thesis,-13.520000000000039,-0.027602070155261726
QLYS,87.28,85.8,5,2019-05-08,2019-06-05,thesis,-9.40000000000002,-0.016956920256645303
QLYS,88.73,86.13,5,2019-06-10,2019-06-11,thesis,-15.000000000000043,-0.029302378000676255
WWD,93.88,111.74,4,2019-03-08,2019-06-14,trail,69.44,0.1902428632296549
SJM,124.3,120.6,3,2019-06-03,2019-06-18,thesis,-13.100000000000009,-0.02976669348350769
FAS,67.71,70.89,6,2019-06-04,2019-06-25,trail,19.08000000000004,0.046964997784670004
WEC,77.8,83.33,5,2019-04-25,2019-06-26,trail,25.650000000000006,0.07107969151670956
PAYX,84.19,82.099998,5,2019-05-14,2019-06-27,thesis,-12.450009999999992,-0.024824824801045198
NHI,78.67,78.029999,5,2019-06-06,2019-06-28,thesis,-5.20000499999999,-0.008135261217744993
KO,48.049999,51.39,9,2019-05-13,2019-07-19,trail,28.060009000000008,0.06951094837691874
TXT,53.040001,49.14,8,2019-06-28,2019-07-19,thesis,-33.20000799999997,-0.07352942923209971
AON,176.48,194.14999,2,2019-05-02,2019-07-22,trail,33.339980000000025,0.1001246033544878
PG,106.73,112.6,4,2019-06-05,2019-07-24,trail,21.47999999999996,0.05499859458446532
AMZN,92.766,97.1525,5,2019-06-12,2019-07-26,trail,19.93249999999999,0.04728564344695263
ROP,353.95001,361.31,1,2019-05-15,2019-07-29,thesis,5.359989999999982,0.0207938686030833
CAT,136.23,126.79,3,2019-07-19,2019-08-01,thesis,-30.31999999999995,-0.06929457535051009
AON,195.89,189.97,2,2019-07-24,2019-08-01,thesis,-13.839999999999975,-0.030221042421767264
VRSK,139.32001,149.41,3,2019-05-14,2019-08-05,trail,28.26997,0.07242312141665797
CB,143.88,148.49001,3,2019-05-14,2019-08-05,thesis,11.83003000000005,0.03204065888240204
BRO,31.72,35.28,14,2019-05-15,2019-08-05,trail,47.84000000000003,0.1122320302648172
USB,52.19,53.049999,9,2019-06-18,2019-08-05,trail,5.739991000000018,0.016478233378041773
KMB,135.42,133.63,3,2019-07-01,2019-08-05,thesis,-7.369999999999976,-0.01321813616895573
LPLA,81.57,76.6,5,2019-06-28,2019-08-06,thesis,-26.849999999999994,-0.06092926320951331
FAS,77.55,71.050003,6,2019-07-22,2019-08-06,thesis,-38.99998199999996,-0.083816853642811
NUGT,169.64999,179.25,2,2019-08-01,2019-08-13,trail,19.200019999999995,0.056587153350259545
MSFT,125.51,133.98,3,2019-05-08,2019-08-14,thesis,23.409999999999954,0.06748466257668695
